Date,Open,High,Low,Close,Adj Close,Volume
5/18/2012,42.049999,45,38,38.23,38.23,573576400
5/21/2012,36.529999,36.66,33,34.029999,34.029999,168192700
5/22/2012,32.610001,33.59,30.940001,31,31,101786600
5/23/2012,31.370001,32.5,31.360001,32,32,73600000
5/24/2012,32.950001,33.209999,31.77,33.029999,33.029999,50237200
5/25/2012,32.900002,32.950001,31.110001,31.91,31.91,37149800
5/29/2012,31.48,31.690001,28.65,28.84,28.84,78063400
5/30/2012,28.700001,29.549999,27.860001,28.190001,28.190001,57267900
5/31/2012,28.549999,29.67,26.83,29.6,29.6,111639200
6/1/2012,28.889999,29.15,27.389999,27.719999,27.719999,41855500
6/4/2012,27.200001,27.65,26.440001,26.9,26.9,35230300
6/5/2012,26.700001,27.76,25.75,25.870001,25.870001,42473400
6/6/2012,26.07,27.17,25.52,26.809999,26.809999,61489200
6/7/2012,27,27.35,26.15,26.309999,26.309999,26159500
6/8/2012,26.549999,27.76,26.440001,27.1,27.1,38034000
6/11/2012,27.18,28.07,26.84,27.01,27.01,28219600
6/12/2012,27.48,27.77,26.959999,27.4,27.4,15816800
6/13/2012,27.66,28.1,27.1,27.27,27.27,17102800
6/14/2012,27.65,28.32,27.379999,28.290001,28.290001,16855000
6/15/2012,28.51,30.1,28.35,30.01,30.01,43563800
6/18/2012,29.959999,32.080002,29.41,31.41,31.41,42978900
6/19/2012,31.540001,32.18,30.700001,31.91,31.91,30849000
6/20/2012,31.92,31.93,31.15,31.6,31.6,15553600
6/21/2012,31.67,32.5,31.51,31.84,31.84,21875300
6/22/2012,32.41,33.450001,32.060001,33.049999,33.049999,74834000
6/25/2012,32.860001,33.02,31.549999,32.060001,32.060001,24352900
6/26/2012,32.689999,33.439999,32.5,33.099998,33.099998,24858700
6/27/2012,32.459999,32.900002,31.9,32.23,32.23,28568000
6/28/2012,31.959999,32.189999,30.9,31.360001,31.360001,17713300
6/29/2012,31.92,31.99,30.76,31.1,31.1,19526900
7/2/2012,31.25,31.73,30.549999,30.77,30.77,14122000
7/3/2012,30.91,31.440001,30.799999,31.200001,31.200001,8763600
7/5/2012,31.32,31.629999,31.02,31.469999,31.469999,10032100
7/6/2012,31.440001,31.9,31.26,31.73,31.73,10945600
7/9/2012,32.099998,32.880001,31.99,32.169998,32.169998,17785200
7/10/2012,32.43,32.48,31.16,31.469999,31.469999,14269500
7/11/2012,31.48,31.559999,30.549999,30.969999,30.969999,13030300
7/12/2012,30.700001,31.4,30.6,30.809999,30.809999,11300700
